x-axis,1,2
second,Volt,Volt
-6.5210000E+00,+1.5427136E+00,+1.4874372E+00
-6.5208438E+00,+1.5025125E+00,+1.4874372E+00
-6.5206875E+00,+1.4874372E+00,+1.4874372E+00
-6.5205313E+00,+1.4874372E+00,+1.4874372E+00
-6.5203750E+00,+1.5100502E+00,+1.4874372E+00
-6.5202188E+00,+1.5025125E+00,+1.4874372E+00
-6.5200625E+00,+1.4874372E+00,+1.4874372E+00
-6.5199063E+00,+1.5100502E+00,+1.4874372E+00
-6.5197500E+00,+1.5025125E+00,+1.4874372E+00
-6.5195938E+00,+1.4874372E+00,+1.4623115E+00
-6.5194375E+00,+1.4874372E+00,+1.4698492E+00
-6.5192813E+00,+1.5100502E+00,+1.4874372E+00
-6.5191250E+00,+1.5025125E+00,+1.4874372E+00
-6.5189688E+00,+1.4874372E+00,+1.4874372E+00
-6.5188125E+00,+1.4874372E+00,+1.4874372E+00
-6.5186563E+00,+1.5100502E+00,+1.4874372E+00
-6.5185000E+00,+1.5025125E+00,+1.4874372E+00
-6.5183438E+00,+1.4874372E+00,+1.4623115E+00
-6.5181875E+00,+1.4623115E+00,+1.4698492E+00
-6.5180313E+00,+1.4698492E+00,+1.4874372E+00
-6.5178750E+00,+1.4874372E+00,+1.4874372E+00
-6.5177188E+00,+1.4874372E+00,+1.4874372E+00
-6.5175625E+00,+1.4874372E+00,+1.4874372E+00
-6.5174063E+00,+1.5100502E+00,+1.4874372E+00
-6.5172500E+00,+1.5025125E+00,+1.4874372E+00
-6.5170938E+00,+1.4874372E+00,+1.4874372E+00
-6.5169375E+00,+1.4874372E+00,+1.4874372E+00
-6.5167813E+00,+1.4874372E+00,+1.4874372E+00
-6.5166250E+00,+1.5100502E+00,+1.4874372E+00
-6.5164688E+00,+1.5276382E+00,+1.4874372E+00
-6.5163125E+00,+1.5025125E+00,+1.4874372E+00
-6.5161563E+00,+1.4874372E+00,+1.4874372E+00
-6.5160000E+00,+1.4874372E+00,+1.4874372E+00
-6.5158438E+00,+1.4874372E+00,+1.4874372E+00
-6.5156875E+00,+1.4874372E+00,+1.4874372E+00
-6.5155313E+00,+1.4874372E+00,+1.4874372E+00
-6.5153750E+00,+1.4874372E+00,+1.4874372E+00
-6.5152188E+00,+1.4874372E+00,+1.4874372E+00
-6.5150625E+00,+1.5100502E+00,+1.4874372E+00
-6.5149063E+00,+1.5276382E+00,+1.4874372E+00
-6.5147500E+00,+1.5276382E+00,+1.4874372E+00
-6.5145938E+00,+1.5025125E+00,+1.4874372E+00
